Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,1.0,0.0,1102,1.0,1,2,0.0,2,1.0,94,3,2,0.0,4,1.0,5993,19479,8,1.0,11,3,1,0,8,0,1,6,4,0,5
49,0.0,1.0,279,0.0,8,1,0.0,3,0.0,61,2,2,1.0,2,0.0,5130,24907,1,0.0,23,4,4,1,10,3,3,10,7,1,7
37,1.0,0.0,1373,0.0,2,2,4.0,4,0.0,92,2,1,2.0,3,1.0,2090,2396,6,1.0,15,3,2,0,7,3,3,0,0,0,0
33,0.0,1.0,1392,0.0,3,4,0.0,4,1.0,56,3,1,1.0,3,0.0,2909,23159,1,1.0,11,3,3,0,8,3,3,8,7,3,0
27,0.0,0.0,591,0.0,2,1,1.0,1,0.0,40,3,1,2.0,2,0.0,3468,16632,9,0.0,12,3,4,1,6,3,3,2,2,2,2
32,0.0,1.0,1005,0.0,2,2,0.0,4,0.0,79,3,1,2.0,4,1.0,3068,11864,0,0.0,13,3,3,0,8,2,2,7,7,3,6
59,0.0,0.0,1324,0.0,3,3,1.0,3,1.0,81,4,1,2.0,1,0.0,2670,9964,4,1.0,20,4,1,3,12,3,2,1,0,0,0
30,0.0,0.0,1358,0.0,24,1,0.0,4,0.0,67,3,1,2.0,3,2.0,2693,13335,1,0.0,22,4,2,1,1,2,3,1,0,0,0
38,0.0,1.0,216,0.0,23,3,0.0,4,0.0,44,2,3,3.0,3,1.0,9526,8787,0,0.0,21,4,2,0,10,2,3,9,7,1,8
36,0.0,0.0,1299,0.0,27,3,1.0,3,0.0,94,3,2,4.0,3,0.0,5237,16577,6,0.0,13,3,2,2,17,3,2,7,7,7,7
35,0.0,0.0,809,0.0,16,3,1.0,1,0.0,84,4,1,2.0,2,0.0,2426,16479,0,0.0,13,3,3,1,6,5,3,5,4,0,3
29,0.0,0.0,153,0.0,15,2,0.0,4,1.0,49,2,2,2.0,3,1.0,4193,12682,0,1.0,12,3,4,0,10,3,3,9,5,0,8
31,0.0,0.0,670,0.0,26,1,0.0,1,0.0,31,3,1,1.0,3,2.0,2911,15170,1,0.0,17,3,4,1,5,1,2,5,2,4,3
34,0.0,0.0,1346,0.0,19,2,1.0,2,0.0,93,3,1,2.0,4,2.0,2661,8758,0,0.0,11,3,3,1,3,2,3,2,2,1,2
28,1.0,0.0,103,0.0,24,3,0.0,3,0.0,50,2,1,2.0,3,1.0,2028,12947,5,1.0,14,3,2,0,6,4,3,4,2,0,3
